name,position,season,games_played,total_tackles,sacks,safties,passes_defended,interceptions,ints_for_tds,int_yards,longest_int_return
"Jackson, Malik",DT,2013,16,42,6,0,4,0,0,0,0
"Jackson, Malik",DT,2012,14,5,0,0,0,0,0,0,0
"Tate, Brandon",WR,2016,15,1,0,0,0,0,0,0,0
"Tate, Brandon",WR,2015,16,1,0,0,0,0,0,0,0
"Tate, Brandon",WR,2014,16,3,0,0,0,0,0,0,0
"Tate, Brandon",WR,2013,16,0,0,0,0,0,0,0,0
"Tate, Brandon",WR,2012,16,1,0,0,0,0,0,0,0
"Tate, Brandon",WR,2011,16,0,0,0,0,0,0,0,0
"Tate, Brandon",WR,2010,16,0,0,0,0,0,0,0,0
"Tate, Brandon",WR,2009,2,0,0,0,0,0,0,0,0
"Liuget, Corey",DE,2016,16,36,0,0,3,0,0,0,0
"Liuget, Corey",DE,2015,11,34,3,0,0,0,0,0,0
"Liuget, Corey",DE,2014,16,57,4.5,0,2,0,0,0,0
"Liuget, Corey",DE,2013,16,42,5.5,0,2,0,0,0,0
"Liuget, Corey",DE,2012,16,51,7,0,9,0,0,0,0
"Liuget, Corey",DE,2011,15,19,1,0,2,0,0,0,0
"Herzlich, Mark",OLB,2016,14,7,0,0,0,0,0,0,0
"Herzlich, Mark",OLB,2015,16,30,0,0,0,0,0,0,0
"Herzlich, Mark",OLB,2014,15,52,1,0,2,0,0,0,0
"Herzlich, Mark",OLB,2013,16,42,0,0,1,0,0,0,0
"Herzlich, Mark",OLB,2012,16,30,0,0,0,0,0,0,0
"Herzlich, Mark",OLB,2011,11,12,0,0,0,0,0,0,0
"Norwood, Kevin",WR,2015,1,1,0,0,0,0,0,0,0
"Norwood, Kevin",WR,2014,9,2,0,0,0,0,0,0,0
"Chung, Patrick",SS,2016,16,91,1,0,3,1,0,4,4
"Chung, Patrick",SS,2015,15,85,0,0,9,0,0,0,0
"Chung, Patrick",SS,2014,16,85,0,0,8,1,0,10,10
"Chung, Patrick",SS,2013,12,59,0,0,3,0,0,0,0
"Chung, Patrick",SS,2012,12,44,0,0,5,2,0,27,27
"Chung, Patrick",SS,2011,8,62,1,0,4,1,0,0,0
"Chung, Patrick",SS,2010,14,96,0,0,9,3,1,96,51T
"Chung, Patrick",SS,2009,16,37,2,0,1,1,0,2,2
"Drake, Kenyan",RB,2016,16,5,0,0,0,0,0,0,0
"Rollins, Quinten",CB,2016,13,41,0,0,8,1,0,0,0
"Rollins, Quinten",CB,2015,14,31,1,0,6,2,1,48,45T
"Tripp, Jordan",OLB,2016,2,1,0,0,0,0,0,0,0
"Tripp, Jordan",OLB,2016,7,1,0,0,0,0,0,0,0
"Tripp, Jordan",OLB,2015,12,14,0,0,0,0,0,0,0
"Tripp, Jordan",OLB,2014,13,3,0,0,0,0,0,0,0
"McClain, Robert",DB,2016,3,1,0,0,0,0,0,0,0
"McClain, Robert",DB,2016,11,38,0.5,0,1,0,0,0,0
"McClain, Robert",DB,2015,3,7,0,0,1,1,0,24,24
"McClain, Robert",DB,2014,16,60,1,0,5,2,0,5,5
"McClain, Robert",DB,2013,16,65,1,0,5,0,0,0,0
"McClain, Robert",DB,2012,15,61,0,0,10,1,0,32,32
"McClain, Robert",DB,2011,0,0,0,0,0,0,0,0,0
